municipio;obitosAcumulado;maxNovosObitos;data
Riacho de Santana;53;1;2023-08-05
Ribeira do Amparo;9;0;2023-12-31
Ribeira do Pombal;84;1;2023-07-01
Ribeirão do Largo;10;0;2023-12-31
Rio de Contas;9;0;2023-12-31
Rio do Antônio;21;0;2023-12-31
Rio do Pires;16;1;2023-08-19
Rio Real;55;0;2023-12-31
Rodelas;9;0;2023-12-31
Ruy Barbosa;35;0;2023-12-31
Salinas da Margarida;25;1;2023-08-26
Salvador;9179;6;2023-12-16
Santa Bárbara;28;0;2023-12-31
Santa Brígida;21;0;2023-12-31
Santa Cruz Cabrália;47;0;2023-12-31
Santa Cruz da Vitória;11;0;2023-12-31
Santa Inês;14;0;2023-12-31
Santaluz;65;1;2023-07-15
Santa Luzia;36;0;2023-12-31
Santa Maria da Vitória;72;0;2023-12-31
Santana;54;0;2023-12-31
Santanópolis;15;1;2023-12-23
Santa Rita de Cássia;45;0;2023-12-31
Santa Terezinha;17;0;2023-12-31
Santo Amaro;108;1;2023-08-19
Santo Antônio de Jesus;195;0;2023-12-31
Santo Estêvão;67;0;2023-12-31
São Desidério;54;1;2023-11-04
São Domingos;14;0;2023-12-31
São Felipe;36;0;2023-12-31
São Félix;9;0;2023-12-31
São Félix do Coribe;35;1;2023-08-12
São Francisco do Conde;78;1;2023-11-18
São Gabriel;23;0;2023-12-31
São Gonçalo dos Campos;42;0;2023-12-31
São José da Vitória;15;0;2023-12-31
São José do Jacuípe;3;0;2023-12-31
São Miguel das Matas;8;0;2023-12-31
São Sebastião do Passé;107;0;2023-12-31
Sapeaçu;30;1;2023-11-25
Sátiro Dias;16;0;2023-12-31
Saubara;21;0;2023-12-31
Saúde;6;0;2023-12-31
Seabra;98;1;2023-09-30
Sebastião Laranjeiras;11;0;2023-12-31
Senhor do Bonfim;123;1;2023-12-30
Sento Sé;52;0;2023-12-31
Serra do Ramalho;40;1;2023-07-29
Serra Dourada;24;0;2023-12-31
Serra Preta;23;0;2023-12-31
Serrinha;116;0;2023-12-31
Serrolândia;16;0;2023-12-31
Simões Filho;287;1;2023-07-08
Sítio do Mato;15;0;2023-12-31
Sítio do Quinto;12;0;2023-12-31
Sobradinho;66;1;2023-12-02
Souto Soares;24;0;2023-12-31
Tabocas do Brejo Velho;18;0;2023-12-31
Tanhaçu;34;0;2023-12-31
Tanque Novo;19;1;2023-12-09
Tanquinho;17;0;2023-12-31
Taperoá;37;0;2023-12-31
Tapiramutá;11;0;2023-12-31
Teixeira de Freitas;396;1;2023-11-11
Teodoro Sampaio;11;0;2023-12-31
Teofilândia;24;0;2023-12-31
Teolândia;11;0;2023-12-31
Terra Nova;26;0;2023-12-31
Tremedal;24;1;2023-11-18
Tucano;73;0;2023-12-31
Uauá;70;0;2023-12-31
Ubaíra;34;0;2023-12-31
Ubaitaba;53;0;2023-12-31
Ubatã;59;1;2023-07-29
Uibaí;33;1;2023-12-23
Umburanas;11;0;2023-12-31
Una;51;0;2023-12-31
Urandi;20;0;2023-12-31
Uruçuca;82;0;2023-12-31
Utinga;19;0;2023-12-31
Valença;161;1;2023-08-12
Valente;34;0;2023-12-31
Várzea da Roça;15;0;2023-12-31
Várzea do Poço;7;0;2023-12-31
Várzea Nova;13;0;2023-12-31
Varzedo;8;0;2023-12-31
Vera Cruz;99;1;2023-11-25
Vereda;23;0;2023-12-31
Vitória da Conquista;761;2;2023-12-30
Wagner;10;0;2023-12-31
Wanderley;30;0;2023-12-31
Wenceslau Guimarães;36;1;2023-09-23
Xique-Xique;101;0;2023-12-31
